id,type,label,subClassOf,range,range,@type,@container,comment
cred,prefix,,https://w3id.org/credentials#,,,,,
dc,prefix,,http://purl.org/dc/terms/,,,,,
sec,prefix,,https://w3id.org/security#,,,,,
schema,prefix,,http://schema.org/,,,,,
xsd,prefix,,http://www.w3.org/2001/XMLSchema#,,,,,
,owl:imports,,http://purl.org/dc/terms/,,,,,
,owl:imports,,https://w3id.org/security,,,,,
,rdfs:seeAlso,,https://www.w3.org/TR/verifiable-claims-data-model/,,,,,
claim,rdf:Property,claim,,Credential,rdfs:Resource,,,A statement made about a `subject`. A **verifiable claim** is a claim that is tamper-resistant and whose authorship can be cryptographically verified.
credential,rdf:Property,credential,,,Credential,,,A set of one or more claims made by the same `entity` about a `subject`. A **verifiable credential** is a credential that is tamper-resistant and whose authorship can be cryptographically verified.
issued,rdf:Property,issued,,Credential,xsd:dateTime,,,The value of this property MUST be a string value of an [[ISO8601]] combined date and time string and represents the date and time the `credential` was issued. Note that this date represents the earliest date when the information associated with the _claim property became valid.
issuer,rdf:Property,issuer,,Credential,,@id,,"An `entit`y that creates a `verifiable claim`, associates it with a particular `subject`, and transmits it to a `holder`."
recipient,rdf:Property,recipient,,,,@id,,FIXME
referenceId,rdf:Property,referenceId,,,,,,FIXME
Credential,rdfs:Class,Credential,,,,,,FIXME
Identity,term,,https://w3id.org/identity#Identity,,,,,FIXME
created,term,,dc:created,,,xsd:dateTime,,
creator,term,,dc:creator,,,@id,,
domain,term,,sec:domain,,,,,
expires,term,,sec:expiration,,,xsd:dateTime,,
nonce,term,,sec:nonce,,,,,
normalizationAlgorithm,term,,sec:normalizationAlgorithm,,,,,
owner,term,,sec:owner,,,@id,,
privateKey,term,,sec:privateKey,,,@id,,
privateKeyPem,term,,sec:privateKeyPem,,,,,
publicKey,term,,sec:publicKey,,,@id,,
publicKeyPem,term,,sec:publicKeyPem,,,,,
publicKeyService,term,,sec:publicKeyService,,,@id,,
revoked,term,,sec:revoked,,,xsd:dateTime,,
signature,term,,sec:signature,,,,,
signatureAlgorithm,term,,sec:signatureAlgorithm,,,,,
signatureValue,term,,sec:signatureValue,,,,,
CryptographicKey,term,,sec:Key,,,,,
GraphSignature2012,term,,sec:GraphSignature2012,,,,,
LinkedDataSignature2015,term,,sec:LinkedDataSignature2015,,,,,
